,REDD LN Equity
,GHG_SCOPE_1
2014-04-30,5.98
2015-04-30,5.865
2016-04-30,6.201
2017-04-30,6.701
2018-04-30,7.21
2019-04-30,6.793
2020-04-30,6.446
2021-04-30,8.311
2022-04-30,19.773
