,PFC LN Equity
,GHG_SCOPE_1
2013-12-31,253.101
2014-12-31,242.0
2015-12-31,260.0
2016-12-31,244.0
2017-12-31,235.0
2018-12-31,239.0
2019-12-31,231.0
2020-12-31,250.0
2021-12-31,188.281
