,RR/ LN Equity
,GHG_SCOPE_1
2011-12-31,229.0
2012-12-31,213.0
2013-12-31,274.0
2014-12-31,456.0
2015-12-31,374.0
2016-12-31,372.0
2017-12-31,379.0
2018-12-31,305.0
2019-12-31,338.555
2020-12-31,229.029
2021-12-31,216.788
