,MSLH LN Equity
,GHG_SCOPE_1
2011-12-31,45.329
2012-12-31,43.518
2013-12-31,40.012
2014-12-31,36.166
2015-12-31,38.756
2016-12-31,40.873
2017-12-31,41.61
2018-12-31,43.559
2019-12-31,42.147
2020-12-31,35.072
2021-12-31,37.54
