,RCO FP Equity
,GHG_SCOPE_1
2011-03-31,3.32
2012-03-31,1.692
2013-03-31,1.795
2014-03-31,2.254
2015-03-31,6.127
2016-03-31,6.609
2017-03-31,8.815
2018-03-31,7.137
2019-03-31,10.252
2020-03-31,7.376
