,CRDA LN Equity
,GHG_SCOPE_1
2011-12-31,135.787
2012-12-31,144.431
2013-12-31,145.42
2014-12-31,140.93
2015-12-31,130.492
2016-12-31,128.55
2017-12-31,134.562
2018-12-31,153.211
2019-12-31,140.403
2020-12-31,146.326
2021-12-31,161.0
