,PHIA NA Equity
,GHG_SCOPE_1
2011-12-31,431.0
2012-12-31,443.0
2013-12-31,465.0
2014-12-31,320.0
2015-12-31,261.0
2016-12-31,229.0
2017-12-31,38.0
2018-12-31,40.0
2019-12-31,35.0
2020-12-31,32.0
2021-12-31,27.0
