,ORK NO Equity
,GHG_SCOPE_1
2011-12-31,655.0
2012-12-31,615.0
2013-12-31,100.0
2014-12-31,94.32
2015-12-31,106.88
2016-12-31,122.163
2017-12-31,129.345
2018-12-31,120.58
2019-12-31,120.82
2020-12-31,113.3
2021-12-31,113.89
