,UU/ LN Equity
,GHG_SCOPE_1
2012-03-31,128.361
2013-03-31,118.865
2014-03-31,101.992
2015-03-31,104.041
2016-03-31,110.533
2017-03-31,128.65
2018-03-31,117.583
2019-03-31,119.354
2020-03-31,116.916
2021-03-31,132.575
2022-03-31,131.735
