,INA CZ Equity
,GHG_SCOPE_1
2013-12-31,1290.0
2014-12-31,1190.0
2015-12-31,1330.0
2016-12-31,1680.0
2017-12-31,1830.0
2018-12-31,1830.0
2019-12-31,1510.0
2020-12-31,1280.0
2021-12-31,1220.0
