,IPS FP Equity
,GHG_SCOPE_1
2012-12-31,4.167
2013-12-31,6.954
2014-12-31,3.526
2015-12-31,3.825
2016-12-31,3.167
2017-12-31,3.041
2018-12-31,2.888
2019-12-31,5.381
2020-12-31,4.37
