,ORA FP Equity
,GHG_SCOPE_1
2011-12-31,415.203
2012-12-31,445.424
2013-12-31,418.026
2014-12-31,346.97
2015-12-31,339.961
2016-12-31,325.376
2017-12-31,329.606
2018-12-31,331.461
2019-12-31,295.636
2020-12-31,282.526
2021-12-31,324.023
