,AFG NO Equity
,GHG_SCOPE_1
2013-12-31,31.752
2014-12-31,35.475
2015-12-31,30.135
2016-12-31,24.326
2017-12-31,36.322
2018-12-31,37.231
2019-12-31,43.22
2020-12-31,40.113
2021-12-31,35.515
