,DSV DC Equity
,GHG_SCOPE_1
2011-12-31,3284.0
2012-12-31,3088.0
2013-12-31,3213.0
2014-12-31,3388.0
2015-12-31,48.0
2016-12-31,63.0
2017-12-31,51.0
2018-12-31,84.69
2019-12-31,83.0
2020-12-31,80.0
2021-12-31,135.0
