,BYG LN Equity
,GHG_SCOPE_1
2011-03-31,0.157
2012-03-31,0.124
2013-03-31,0.337
2014-03-31,0.475
2015-03-31,0.132
2016-03-31,0.123
2017-03-31,0.184
2018-03-31,0.147
2019-03-31,0.132
2020-03-31,0.132
2021-03-31,0.14
2022-03-31,0.309
