,DVO LN Equity
,GHG_SCOPE_1
2012-12-31,76.958
2013-12-31,79.297
2014-12-31,76.805
2015-12-31,79.726
2016-12-31,76.696
2017-12-31,75.038
2018-12-31,59.932
2019-12-31,61.988
2020-12-31,53.649
2021-12-31,68.985
