,PIRC IM Equity
,GHG_SCOPE_1
2011-12-31,247.684
2013-12-31,163.554
2014-12-31,261.18
2015-12-31,263.69
2016-12-31,242.41
2017-12-31,175.347
2018-12-31,190.037
2019-12-31,192.149
2020-12-31,168.158
2021-12-31,187.51
