,AM FP Equity
,GHG_SCOPE_1
2011-12-31,33.531
2012-12-31,60.016
2013-12-31,64.716
2014-12-31,59.508
2015-12-31,67.784
2016-12-31,57.915
2017-12-31,62.655
2018-12-31,60.492
2019-12-31,65.743
2020-12-31,52.7
2021-12-31,61.288
