,SKAB SS Equity
,GHG_SCOPE_1
2011-12-31,436.0
2012-12-31,371.158
2013-12-31,397.586
2014-12-31,367.791
2015-12-31,330.758
2016-12-31,312.8
2017-12-31,275.537
2018-12-31,275.173
2019-12-31,212.609
2020-12-31,193.02
2021-12-31,194.0
