,GNC LN Equity
,GHG_SCOPE_1
2012-09-30,84.583
2013-09-27,85.067
2014-09-26,77.85
2015-09-25,68.53
2016-09-30,73.624
2017-09-29,81.184
2018-09-28,75.6
2019-09-27,59.495
2020-09-25,60.105
2021-09-24,68.386
