,MTGB SS Equity
,GHG_SCOPE_1
2011-12-31,0.151
2012-12-31,0.383
2013-12-31,0.691
2014-12-31,1.644
2015-12-31,1.279
2016-12-31,1.138
2017-12-31,0.595
2018-12-31,0.258
2019-12-31,0.038
2020-12-31,0.029
2021-12-31,0.074
