,SHEL LN Equity
,GHG_SCOPE_1
2011-12-31,74103.0
2012-12-31,72000.0
2013-12-31,73000.0
2014-12-31,76000.0
2015-12-31,72000.0
2016-12-31,70000.0
2017-12-31,73000.0
2018-12-31,71000.0
2019-12-31,70000.0
2020-12-31,63000.0
2021-12-31,60000.0
