,BBY LN Equity
,GHG_SCOPE_1
2011-12-31,348.522
2012-12-31,320.453
2013-12-31,305.398
2014-12-31,295.219
2015-12-31,288.664
2016-12-31,222.485
2017-12-31,172.27
2018-12-31,175.065
2019-12-31,167.071
2020-12-31,162.816
2021-12-31,199.002
