,AV/ LN Equity
,GHG_SCOPE_1
2011-12-31,44.471
2012-12-31,23.849
2013-12-31,21.787
2014-12-31,20.031
2015-12-31,19.112
2016-12-31,19.21
2017-12-31,17.915
2018-12-31,16.198
2019-12-31,14.207
2020-12-31,11.749
2021-12-31,10.63
