,IMB LN Equity
,GHG_SCOPE_1
2011-09-30,162.794
2012-09-30,174.737
2013-09-30,160.191
2014-09-30,148.622
2015-09-30,123.183
2016-09-30,132.451
2017-09-30,120.834
2018-09-30,114.617
2019-09-30,108.241
2020-09-30,99.577
2021-09-30,95.987
2022-09-30,91.007
