,MAB LN Equity
,GHG_SCOPE_1
2013-09-28,93.701
2014-09-27,89.893
2015-09-26,95.771
2016-09-24,95.474
2017-09-30,95.993
2018-09-29,90.021
2019-09-28,84.388
2020-09-26,79.936
2021-09-25,61.886
2022-09-24,87.278
