,DEMANT DC Equity
,GHG_SCOPE_1
2011-12-31,0.736
2012-12-31,0.812
2013-12-31,0.812
2014-12-31,2.274
2015-12-31,2.517
2016-12-31,2.521
2017-12-31,4.368
2018-12-31,7.076
2019-12-31,7.489
2020-12-31,5.019
2021-12-31,8.04
