,OHLA SM Equity
,GHG_SCOPE_1
2011-12-31,342.938
2012-12-31,251.757
2013-12-31,249.367
2014-12-31,177.214
2015-12-31,197.757
2016-12-31,172.145
2017-12-31,110.613
2018-12-31,92.495
2019-12-31,113.46
2020-12-31,111.864
2021-12-31,95.13
