,WPP LN Equity
,GHG_SCOPE_1
2011-12-31,8.964
2012-12-31,9.859
2013-12-31,11.305
2014-12-31,9.747
2015-12-31,8.135
2016-12-31,7.851
2017-12-31,7.648
2018-12-31,8.851
2019-12-31,25.015
2020-12-31,21.802
