,LDO IM Equity
,GHG_SCOPE_1
2011-12-31,204.466
2012-12-31,232.303
2013-12-31,232.911
2014-12-31,245.102
2015-12-31,272.914
2016-12-31,270.689
2017-12-31,256.878
2018-12-31,286.643
2019-12-31,332.78
2020-12-31,359.711
2021-12-31,262.984
