,CBG LN Equity
,GHG_SCOPE_1
2013-07-31,2.79
2014-07-31,2.829
2015-07-31,2.842
2016-07-31,3.389
2017-07-31,3.371
2018-07-31,2.716
2019-07-31,2.307
2020-07-31,1.78
2021-07-31,1.057
2022-07-31,1.394
