,BN FP Equity
,GHG_SCOPE_1
2012-12-31,894.206
2013-12-31,460.256
2014-12-31,561.353
2015-12-31,561.641
2016-12-31,547.48
2017-12-31,644.0
2018-12-31,753.0
2019-12-31,722.0
2020-12-31,668.0
2021-12-31,683.0
