,ABBN SW Equity
,GHG_SCOPE_1
2011-12-31,757.0
2012-12-31,819.0
2014-12-31,891.0
2015-12-31,761.0
2016-12-31,734.0
2017-12-31,394.0
2018-12-31,361.0
2019-12-31,396.0
2020-12-31,226.0
2021-12-31,190.0
