,AENA SM Equity
,GHG_SCOPE_1
2013-12-31,18.171
2014-12-31,16.083
2015-12-31,15.726
2016-12-31,21.119
2017-12-31,22.467
2018-12-31,27.041
2019-12-31,25.846
2020-12-31,19.406
2021-12-31,16.346
