,WIHL SS Equity
,GHG_SCOPE_1
2011-12-31,0.336
2012-12-31,0.515
2013-12-31,0.652
2014-12-31,0.516
2015-12-31,0.441
2016-12-31,0.348
2017-12-31,0.478
2018-12-31,0.728
2019-12-31,1.977
2020-12-31,1.09
2021-12-31,1.007
