,SHI LN Equity
,GHG_SCOPE_1
2011-12-31,82.416
2012-12-31,81.604
2013-12-31,78.231
2014-12-31,74.018
2015-12-31,71.532
2016-12-31,73.512
2017-12-31,72.044
2018-12-31,64.191
2019-12-31,58.077
2020-12-31,43.042
2021-12-31,42.961
