,DBK GR Equity
,GHG_SCOPE_1
2011-12-31,99.256
2012-12-31,67.617
2013-12-31,67.104
2014-12-31,60.876
2015-12-31,59.131
2016-12-31,61.721
2017-12-31,53.19
2018-12-31,51.083
2019-12-31,49.712
2020-12-31,41.458
2021-12-31,32.991
