,TCAP LN Equity
,GHG_SCOPE_1
2013-12-31,0.402
2014-12-31,0.794
2015-12-31,0.584
2016-12-31,0.629
2017-12-31,3.377
2018-12-31,2.693
2019-12-31,0.972
2020-12-31,0.772
2021-12-31,0.921
