,DTY LN Equity
,GHG_SCOPE_1
2011-12-30,15.202
2012-12-28,15.097
2013-12-27,15.077
2014-12-26,14.437
2015-12-25,14.988
2016-12-30,15.616
2017-12-29,15.535
2018-12-28,16.028
2019-12-27,15.844
2020-12-25,15.71
