,NK FP Equity
,GHG_SCOPE_1
2012-12-31,1753.0
2013-12-31,1702.0
2014-12-31,1785.0
2015-12-31,1659.0
2016-12-31,1713.0
2017-12-31,2018.0
2018-12-31,2194.0
2019-12-31,1811.0
2020-12-31,1510.0
2021-12-31,1597.0
