,IBE SM Equity
,GHG_SCOPE_1
2011-12-31,36239.0
2012-12-31,35737.0
2013-12-31,31837.0
2014-12-31,30065.699
2015-12-31,31741.301
2016-12-31,25626.1
2017-12-31,26806.5
2018-12-31,24645.1
2019-12-31,13583.8
2020-12-31,13002.6
2021-12-31,13253.4
