,ISS DC Equity
,GHG_SCOPE_1
2012-12-31,126.333
2013-12-31,128.806
2014-12-31,100.12
2015-12-31,107.647
2016-12-31,106.353
2017-12-31,96.664
2018-12-31,91.199
2019-12-31,89.334
2020-12-31,70.084
2021-12-31,71.159
