,CS FP Equity
,GHG_SCOPE_1
2011-12-31,39.169
2012-12-31,35.947
2013-12-31,35.603
2014-12-31,31.64
2015-12-31,33.441
2016-12-31,31.304
2017-12-31,31.799
2018-12-31,27.287
2019-12-31,27.223
2020-12-31,26.292
2021-12-31,23.362
