,KER PW Equity
,GHG_SCOPE_1
2012-06-30,323.0
2013-06-30,274.0
2014-06-30,284.0
2015-06-30,248.0
2016-06-30,208.0
2017-06-30,273.0
2018-06-30,278.0
2019-06-30,234.0
2020-06-30,955.0
2021-06-30,942.0
