,CLN SW Equity
,GHG_SCOPE_1
2011-12-31,600.0
2012-12-31,810.0
2013-12-31,680.0
2014-12-31,420.0
2015-12-31,400.0
2016-12-31,410.0
2017-12-31,440.0
2018-12-31,430.0
2019-12-31,380.0
2020-12-31,389.921
