,HMB SS Equity
,GHG_SCOPE_1
2011-11-30,17.543
2012-11-30,15.282
2013-11-30,16.435
2014-11-30,10.723
2015-11-30,9.308
2016-11-30,10.376
2017-11-30,12.484
2018-11-30,11.818
2019-11-30,13.38
2020-11-30,11.973
2021-11-30,12.684
