,ULVR LN Equity
,GHG_SCOPE_1
2011-12-31,1390.0
2012-12-31,1400.0
2013-12-31,1013.69
2014-12-31,929.36
2015-12-31,852.672
2016-12-31,840.633
2017-12-31,793.895
2018-12-31,731.927
2019-12-31,626.672
2020-12-31,606.771
2021-12-31,565.988
