,RCDO LN Equity
,GHG_SCOPE_1
2013-06-30,6.1
2014-06-30,8.1
2015-06-30,8.2
2016-06-30,11.4
2017-06-30,8.1
2018-06-30,8.6
2019-06-30,4.1
2020-06-30,4343.0
2021-06-30,2416.0
