,AC FP Equity
,GHG_SCOPE_1
2011-12-31,186.455
2012-12-31,221.716
2013-12-31,248.0
2014-12-31,245.0
2015-12-31,302.0
2016-12-31,255.0
2017-12-31,249.0
2018-12-31,281.0
2019-12-31,253.0
2020-12-31,222.0
2021-12-31,316.0
