,OCDO LN Equity
,GHG_SCOPE_1
2013-12-01,39.53
2014-11-30,50.198
2015-11-29,63.151
2016-11-27,75.891
2017-12-03,82.305
2018-12-02,87.614
2019-12-01,86.502
2020-11-29,87.038
2021-11-28,94.912
