,NWG LN Equity
,GHG_SCOPE_1
2011-12-31,71.1
2012-12-31,66.586
2013-12-31,79.855
2014-12-31,35.433
2015-12-31,34.736
2016-12-31,29.408
2017-12-31,27.172
2018-12-31,29.959
2019-12-31,20.672
2020-12-31,21.11
2021-12-31,19.127
