,REL LN Equity
,GHG_SCOPE_1
2011-12-31,12.138
2012-12-31,10.752
2013-12-31,11.81
2014-12-31,8.932
2015-12-31,7.446
2016-12-31,7.966
2017-12-31,8.231
2018-12-31,7.477
2019-12-31,7.848
2020-12-31,4.516
2021-12-31,5.226
