,VK FP Equity
,GHG_SCOPE_1
2011-12-31,1050.78
2012-12-31,1007.97
2013-12-31,1127.59
2014-12-31,1273.0
2015-12-31,580.3
2016-12-31,550.9
2017-12-31,652.3
2018-12-31,927.1
2019-12-31,890.0
2020-12-31,767.0
2021-12-31,778.0
