,HTG LN Equity
,GHG_SCOPE_1
2011-12-31,3.064
2012-12-31,9.061
2013-12-31,8.309
2014-12-31,8.113
2015-12-31,6.381
2016-12-31,6.15
2017-12-31,9.379
2018-12-31,7.087
2019-12-31,7.1
2020-12-31,6.605
2021-12-31,4.171
