,III LN Equity
,GHG_SCOPE_1
2014-03-31,0.028
2015-03-31,0.013
2016-03-31,0.252
2017-03-31,0.191
2018-03-31,0.156
2019-03-31,0.142
2020-03-31,0.151
2021-03-31,0.118
2022-03-31,0.168
