,VANTI FP Equity
,GHG_SCOPE_1
2011-12-31,15.694
2012-12-31,9.469
2013-12-31,10.285
2014-12-31,9.478
2015-12-31,8.16
2016-12-31,10.557
2017-12-31,7.087
2018-12-31,8.638
2019-12-31,7.846
2020-12-31,5.512
2021-12-31,4.756
