,A3M SM Equity
,GHG_SCOPE_1
2012-12-31,1.373
2013-12-31,2.28
2014-12-31,3.282
2015-12-31,1.562
2016-12-31,1.552
2017-12-31,1.44
2018-12-31,1.798
2019-12-31,1.79
2020-12-31,1.86
