,ARCAD NA Equity
,GHG_SCOPE_1
2011-12-31,16.021
2012-12-31,23.122
2013-12-31,20.348
2014-12-31,21.386
2015-12-31,15.6
2016-12-31,13.478
2017-12-31,12.164
2018-12-31,11.09
2019-12-31,10.583
2020-12-31,7.223
