,DPLM LN Equity
,GHG_SCOPE_1
2013-09-30,0.84
2014-09-30,0.885
2015-09-30,0.918
2016-09-30,0.814
2017-09-30,0.725
2018-09-30,0.791
2019-09-30,0.729
2020-09-30,0.773
2021-09-30,2.554
