,DLG LN Equity
,GHG_SCOPE_1
2013-12-31,8.424
2014-12-31,7.787
2015-12-31,7.645
2016-12-31,7.383
2017-12-31,8.027
2018-12-31,8.754
2019-12-31,7.365
2020-12-31,8.251
2021-12-31,7.997
