,LRE LN Equity
,GHG_SCOPE_1
2013-12-31,0.044
2014-12-31,0.053
2015-12-31,0.06
2016-12-31,0.09
2017-12-31,0.071
2018-12-31,0.06
2019-12-31,0.127
2020-12-31,0.067
2021-12-31,0.107
