,ICAD FP Equity
,GHG_SCOPE_1
2013-12-31,3.015
2014-12-31,2.562
2015-12-31,4.015
2016-12-31,4.945
2017-12-31,7.818
2018-12-31,6.663
2019-12-31,3.999
2020-12-31,3.15
2021-12-31,4.176
