,EXPN LN Equity
,GHG_SCOPE_1
2014-03-31,5.2
2015-03-31,4.8
2016-03-31,4.4
2017-03-31,4.4
2018-03-31,3.9
2019-03-31,3.6
2020-03-31,3.0
2021-03-31,2.2
2022-03-31,2.5
