,MYTIL GA Equity
,GHG_SCOPE_1
2011-12-31,535.801
2012-12-31,2503.17
2013-12-31,2353.6
2014-12-31,1489.02
2015-12-31,1666.37
2016-12-31,2353.58
2017-12-31,2612.55
2018-12-31,2555.71
2019-12-31,2798.07
2020-12-31,2885.47
2021-12-31,2726.02
